ID,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,NumDealsPurchases,Web,Catalog,Store,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Children,Has_child,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
9736,1980,Graduate,Couple,1,1,24-12-2012,51,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2 children,Has child,Stars,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
4939,1946,Graduate,Couple,0,0,31-08-2012,20,2,4,1,6,7,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Senior,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
6565,1949,Postgraduate,Couple,0,1,28-03-2013,91,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1 child,Has child,High potential,Senior,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
2278,1985,Undergraduate,Alone,1,0,03-11-2012,86,2,2,1,3,6,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
9360,1982,Graduate,Couple,0,0,08-08-2012,41,1,4,2,5,8,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
5376,1979,Graduate,Couple,1,0,06-01-2013,42,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low income,Old customers,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
1993,1949,Postgraduate,Couple,0,1,23-12-2012,63,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1 child,Has child,High potential,Senior,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
4047,1954,Postgraduate,Couple,0,1,11-01-2014,0,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Senior,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1409,1951,Graduate,Couple,0,1,18-03-2013,69,7,7,1,5,8,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Senior,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
7892,1969,Graduate,Alone,0,0,02-01-2013,89,2,2,1,3,7,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Mature,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
2404,1976,Graduate,Couple,1,1,27-05-2013,4,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2 children,Has child,Stars,Mature,Medium to high income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
9422,1989,Graduate,Couple,1,0,31-05-2013,26,2,2,1,4,3,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1966,1965,Postgraduate,Couple,0,0,22-11-2013,96,1,6,9,10,2,0,0,1,0,0,0,3,11,0,No child,No child,Need attention,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer
6864,1989,Postgraduate,Alone,0,0,22-05-2014,34,2,3,0,3,5,0,0,0,0,0,0,3,11,0,No child,No child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
3033,1963,Postgraduate,Couple,0,0,11-05-2013,56,1,2,5,3,3,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
5710,1970,Graduate,Couple,0,1,10-10-2012,31,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
7373,1952,Postgraduate,Alone,0,2,29-10-2012,8,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2 children,Has child,Stars,Senior,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
8755,1946,Postgraduate,Couple,0,0,20-02-2013,4,1,3,5,9,7,0,0,0,0,0,0,3,11,0,No child,No child,High potential,Senior,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
10738,1951,Postgraduate,Alone,1,1,29-08-2013,55,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Senior,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
4339,1970,Postgraduate,Couple,0,1,31-12-2013,37,5,5,6,12,2,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Mature,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
10755,1976,Undergraduate,Couple,1,0,02-09-2013,76,3,3,1,2,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
8595,1973,Graduate,Alone,0,1,11-02-2014,99,2,1,1,3,5,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
2968,1943,Postgraduate,Alone,0,0,01-02-2013,53,2,7,10,5,6,1,0,0,0,0,0,3,11,1,No child,No child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
8601,1980,Graduate,Couple,0,1,29-04-2013,3,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1 child,Has child,High potential,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
503,1985,Postgraduate,Couple,1,0,12-03-2013,88,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low income,Experienced customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
8430,1957,Graduate,Couple,0,1,24-12-2012,4,1,0,0,3,5,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Senior,Low income,Old customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
2139,1975,Postgraduate,Couple,1,0,02-10-2013,19,3,2,0,3,5,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1371,1976,Graduate,Alone,0,0,28-06-2014,72,1,2,4,9,1,0,0,0,0,0,0,3,11,0,No child,No child,Need attention,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
9909,1996,Undergraduate,Couple,0,0,09-11-2012,24,3,3,1,3,9,0,0,0,0,0,0,3,11,1,No child,No child,Stars,Young,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
7286,1968,Graduate,Couple,1,0,24-05-2013,92,1,2,0,2,10,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low to medium income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
6566,1954,Postgraduate,Couple,1,1,08-11-2012,39,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2 children,Has child,High potential,Senior,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
8614,1957,Graduate,Alone,0,1,12-05-2014,29,1,4,2,10,2,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Senior,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
4114,1964,Postgraduate,Couple,0,0,11-08-2012,2,1,6,9,13,3,0,0,0,0,0,0,3,11,0,No child,No child,High potential,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
1331,1977,Graduate,Alone,1,0,02-01-2013,54,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low to medium income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
2225,1977,Graduate,Alone,0,0,07-06-2014,54,1,4,9,7,1,1,0,0,1,0,0,3,11,1,No child,No child,Need attention,Mature,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
9381,1978,Graduate,Couple,1,1,12-06-2013,57,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2 children,Has child,High potential,Adult,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
6260,1955,Postgraduate,Couple,0,0,19-11-2012,55,1,3,10,13,1,0,0,1,0,0,0,3,11,1,No child,No child,High potential,Senior,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
10383,1966,Graduate,Alone,0,0,02-04-2013,30,1,5,5,10,3,0,0,0,0,0,0,3,11,1,No child,No child,High potential,Mature,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
7437,1988,Graduate,Alone,1,0,28-04-2014,31,1,1,0,4,3,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Adult,Low income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
8375,1968,Postgraduate,Couple,0,1,03-03-2014,63,3,8,2,6,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
6853,1982,Postgraduate,Alone,0,0,04-07-2013,12,1,3,6,11,1,0,1,1,0,0,0,3,11,1,No child,No child,High potential,Adult,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
3076,1975,Graduate,Couple,1,1,07-09-2012,18,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2 children,Has child,High potential,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1012,1952,Graduate,Alone,0,1,18-02-2013,26,4,8,2,10,7,0,0,0,0,0,0,3,11,0,1 child,Has child,High potential,Senior,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
6518,1951,Postgraduate,Alone,0,1,11-06-2013,8,1,7,3,8,5,0,0,0,0,0,0,3,11,0,1 child,Has child,High potential,Senior,Medium to high income,Experienced customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
4137,1948,Graduate,Couple,0,0,06-12-2013,29,1,7,4,4,4,0,0,0,0,0,0,3,11,0,No child,No child,Need attention,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
8082,1971,Graduate,Couple,1,0,21-05-2013,75,1,1,1,2,7,0,0,0,0,0,0,3,11,1,1 child,Has child,Stars,Mature,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
1386,1967,Graduate,Couple,1,1,11-05-2014,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
9369,1979,Undergraduate,Alone,0,1,19-03-2014,19,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1 child,Has child,Need attention,Adult,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
4477,1958,Graduate,Couple,0,1,27-09-2013,4,1,5,2,10,4,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
1357,1970,Graduate,Couple,1,2,08-04-2013,90,7,2,5,5,5,0,0,0,0,0,0,3,11,0,3 children,Has child,High potential,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1402,1954,Postgraduate,Couple,0,0,11-09-2012,1,3,4,8,6,3,0,0,0,0,0,0,3,11,0,No child,No child,High potential,Senior,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
6312,1959,Graduate,Couple,0,1,17-03-2013,29,4,10,3,13,7,0,0,0,0,0,0,3,11,0,1 child,Has child,High potential,Mature,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
8132,1975,Postgraduate,Couple,1,1,05-04-2013,88,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2 children,Has child,High potential,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1050,1952,Graduate,Couple,0,0,30-04-2014,58,1,2,1,4,2,0,0,0,0,0,0,3,11,0,No child,No child,Leaky bucket,Senior,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
5846,1977,Graduate,Alone,1,0,19-12-2012,68,1,1,0,2,6,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1859,1972,Postgraduate,Couple,0,0,27-08-2012,34,1,7,6,5,5,0,0,0,0,0,0,3,11,1,No child,No child,High potential,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
7503,1976,Graduate,Alone,0,0,12-10-2012,40,0,5,8,9,4,1,0,0,0,0,0,3,11,1,No child,No child,High potential,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
10401,1976,Undergraduate,Couple,0,0,04-09-2013,12,1,0,0,3,3,0,0,0,0,0,1,3,11,0,No child,No child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
1618,1965,Graduate,Couple,0,0,02-01-2013,9,2,10,1,8,8,1,0,0,0,0,0,3,11,1,No child,No child,High potential,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
3332,1985,Graduate,Alone,1,0,29-08-2012,87,4,3,1,4,8,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
2261,1969,Graduate,Couple,1,0,23-06-2013,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
5346,1973,Undergraduate,Couple,1,0,03-07-2013,87,3,3,0,3,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low income,Experienced customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
4119,1963,Postgraduate,Couple,0,0,11-05-2013,56,1,2,5,3,3,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
535,1987,Graduate,Alone,0,0,25-02-2014,18,1,3,10,13,1,0,0,0,0,0,0,3,11,0,No child,No child,Need attention,Adult,High income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
5268,1960,Graduate,Couple,1,1,11-08-2013,95,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
273,1970,Postgraduate,Couple,1,1,16-07-2013,48,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
4452,1957,Graduate,Alone,0,1,28-05-2014,3,4,6,1,6,7,0,1,0,1,0,0,3,11,1,1 child,Has child,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
8504,1973,Graduate,Couple,0,0,12-05-2014,70,1,5,6,7,2,0,0,1,0,0,0,3,11,0,No child,No child,Need attention,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
771,1967,Graduate,Couple,0,1,21-01-2014,79,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
11178,1972,Postgraduate,Alone,1,0,23-03-2014,69,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
2230,1970,Postgraduate,Couple,1,0,24-05-2014,84,3,3,1,3,5,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Non consumer
7516,1983,Graduate,Couple,1,0,22-05-2014,30,1,2,0,3,6,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
7247,1960,Graduate,Alone,0,1,22-11-2012,72,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1 child,Has child,Stars,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
11100,1972,Graduate,Alone,1,1,11-04-2013,37,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2 children,Has child,Stars,Mature,Medium to high income,Experienced customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
4646,1951,Undergraduate,Couple,0,0,01-12-2013,44,1,5,7,12,2,0,0,0,1,0,0,3,11,0,No child,No child,Need attention,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
3037,1983,Postgraduate,Couple,0,0,20-06-2013,32,2,5,2,7,5,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Adult,Low to medium income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
1473,1960,Undergraduate,Alone,0,1,23-07-2013,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1016,1959,Postgraduate,Alone,0,1,30-03-2014,43,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
4518,1979,Graduate,Couple,0,1,20-04-2013,59,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1 child,Has child,High potential,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
9370,1945,Postgraduate,Couple,0,0,17-05-2013,68,1,6,3,6,4,0,0,0,0,0,0,3,11,0,No child,No child,High potential,Senior,Medium to high income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
8908,1959,Graduate,Couple,0,0,08-05-2014,35,1,3,11,5,1,0,0,0,0,0,0,3,11,1,No child,No child,Need attention,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
8373,1979,Undergraduate,Couple,1,0,10-12-2013,94,1,1,0,3,5,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
7533,1964,Graduate,Couple,1,1,24-09-2013,15,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
2683,1969,Graduate,Couple,0,2,02-02-2013,56,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2 children,Has child,High potential,Mature,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
3629,1978,Graduate,Alone,1,0,19-12-2012,17,2,3,1,3,7,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
10991,1960,Postgraduate,Couple,0,0,07-12-2012,18,1,5,4,4,2,0,0,0,0,0,0,3,11,0,No child,No child,High potential,Mature,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
5077,1979,Graduate,Couple,0,1,02-11-2013,46,1,6,6,11,3,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
7431,1991,Postgraduate,Alone,0,0,10-11-2012,40,1,7,4,5,9,0,1,0,0,0,0,3,11,1,No child,No child,High potential,Adult,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
3267,1963,Postgraduate,Couple,0,1,25-06-2014,27,3,8,1,8,6,0,1,0,0,0,0,3,11,0,1 child,Has child,Need attention,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
999,1991,Graduate,Alone,0,0,02-01-2013,95,1,6,7,11,3,0,1,1,0,0,0,3,11,1,No child,No child,High potential,Adult,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
